time_s,activity
1.179391980171203613e+00,1.464843750000000000e-03
1.183743953704833984e+00,2.197265625000000000e-03
1.188096046447753906e+00,1.464843750000000000e-03
1.192448019981384277e+00,2.197265625000000000e-03
1.196799993515014648e+00,7.324218750000000000e-04
1.201151967048645020e+00,2.441406250000000000e-04
1.205503940582275391e+00,2.441406250000000000e-03
1.209856033325195312e+00,1.708984375000000000e-03
1.214208006858825684e+00,7.324218750000000000e-04
1.218559980392456055e+00,1.953125000000000000e-03
1.222911953926086426e+00,2.441406250000000000e-04
1.227264046669006348e+00,1.220703125000000000e-03
1.231616020202636719e+00,1.464843750000000000e-03
1.235967993736267090e+00,7.324218750000000000e-04
1.240319967269897461e+00,1.953125000000000000e-03
1.244671940803527832e+00,1.708984375000000000e-03
1.249024033546447754e+00,1.708984375000000000e-03
1.253376007080078125e+00,1.464843750000000000e-03
1.257727980613708496e+00,0.000000000000000000e+00
1.262079954147338867e+00,3.417968750000000000e-03
1.266432046890258789e+00,2.685546875000000000e-03
1.270784020423889160e+00,9.765625000000000000e-04
1.275135993957519531e+00,9.765625000000000000e-04
1.279487967491149902e+00,2.441406250000000000e-04
1.283839941024780273e+00,2.441406250000000000e-04
1.288192033767700195e+00,7.324218750000000000e-04
1.292544007301330566e+00,4.882812500000000000e-04
1.296895980834960938e+00,9.765625000000000000e-04
1.301247954368591309e+00,9.765625000000000000e-04
1.305600047111511230e+00,1.708984375000000000e-03
1.309952020645141602e+00,1.220703125000000000e-03
1.314303994178771973e+00,4.882812500000000000e-04
1.318655967712402344e+00,3.417968750000000000e-03
1.323007941246032715e+00,1.220703125000000000e-03
1.327360033988952637e+00,4.882812500000000000e-04
1.331712007522583008e+00,2.197265625000000000e-03
1.336063981056213379e+00,9.765625000000000000e-04
1.340415954589843750e+00,4.882812500000000000e-04
1.344768047332763672e+00,4.882812500000000000e-04
1.349120020866394043e+00,7.324218750000000000e-04
1.353471994400024414e+00,2.441406250000000000e-04
1.357823967933654785e+00,2.441406250000000000e-04
1.362175941467285156e+00,7.324218750000000000e-04
1.366528034210205078e+00,4.882812500000000000e-04
1.370880007743835449e+00,1.464843750000000000e-03
1.375231981277465820e+00,2.441406250000000000e-03
1.379583954811096191e+00,0.000000000000000000e+00
1.383936047554016113e+00,7.324218750000000000e-04
1.388288021087646484e+00,1.220703125000000000e-03
1.392639994621276855e+00,7.324218750000000000e-04
1.396991968154907227e+00,1.220703125000000000e-03
1.401343941688537598e+00,9.765625000000000000e-04
1.405696034431457520e+00,4.882812500000000000e-04
1.410048007965087891e+00,2.441406250000000000e-04
1.414399981498718262e+00,4.882812500000000000e-04
1.418751955032348633e+00,7.324218750000000000e-04
1.423104047775268555e+00,2.441406250000000000e-04
1.427456021308898926e+00,2.441406250000000000e-04
1.431807994842529297e+00,2.441406250000000000e-03
1.436159968376159668e+00,1.464843750000000000e-03
1.440511941909790039e+00,7.324218750000000000e-04
1.444864034652709961e+00,7.324218750000000000e-04
1.449216008186340332e+00,7.324218750000000000e-04
1.453567981719970703e+00,1.220703125000000000e-03
1.457919955253601074e+00,1.953125000000000000e-03
1.462272047996520996e+00,1.464843750000000000e-03
1.466624021530151367e+00,0.000000000000000000e+00
1.470975995063781738e+00,1.220703125000000000e-03
1.475327968597412109e+00,4.882812500000000000e-04
1.479679942131042480e+00,4.882812500000000000e-04
1.484032034873962402e+00,7.324218750000000000e-04
1.488384008407592773e+00,2.441406250000000000e-03
1.492735981941223145e+00,1.220703125000000000e-03
1.497087955474853516e+00,7.324218750000000000e-04
1.501440048217773438e+00,7.324218750000000000e-04
1.505792021751403809e+00,9.765625000000000000e-04
1.510143995285034180e+00,3.173828125000000000e-03
